location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 11,Norway,6,Sweden,2,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001101-.htm,CUR,NOR,SWE,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 11,Australia,9,Switzerland,6,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001102-.htm,CUR,AUS,SUI,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 11,Italy,8,People's Republic of China,4,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001103-.htm,CUR,ITA,CHN,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 11,Canada,7,Czech Republic,5,Finished,2022-02-06T14:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001104-.htm,CUR,CAN,CZE,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 12,Canada,8,Australia,10,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001201-.htm,CUR,CAN,AUS,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 12,Italy,12,Sweden,8,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001202-.htm,CUR,ITA,SWE,Mixed
National Aquatics Centre - Sheet C,Mixed Doubles Round Robin Session 12,Switzerland,6,United States of America,5,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001203-.htm,CUR,SUI,USA,Mixed
National Aquatics Centre - Sheet D,Mixed Doubles Round Robin Session 12,Norway,6,Great Britain,2,Finished,2022-02-06T20:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001204-.htm,CUR,NOR,GBR,Mixed
National Aquatics Centre - Sheet A,Mixed Doubles Round Robin Session 13,Switzerland,NORNorway,,,,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001301-.htm,CUR,SUI,,Mixed
National Aquatics Centre - Sheet B,Mixed Doubles Round Robin Session 13,Canada,ITAItaly,,,,2022-02-07T09:05:00+08:00,../../../en/results/curling/results-mixed-doubles-prel-001302-.htm,CUR,CAN,,Mixed
